data,casosAcumulado
2022-07-01,136025.0
2022-07-02,136025.0
2022-07-03,136025.0
2022-07-04,136331.0
2022-07-05,136471.0
2022-07-06,136615.0
2022-07-07,136728.0
2022-07-08,136895.0
2022-07-09,136895.0
2022-07-10,136895.0
2022-07-11,137409.0
2022-07-12,137473.0
2022-07-13,137673.0
2022-07-14,137798.0
2022-07-15,137905.0
2022-07-16,137905.0
2022-07-17,137905.0
2022-07-18,138241.0
2022-07-19,138440.0
2022-07-20,138556.0
2022-07-21,138640.0
2022-07-22,138774.0
2022-07-23,138774.0
2022-07-24,138774.0
2022-07-25,139577.0
2022-07-26,139678.0
2022-07-27,139783.0
2022-07-28,139902.0
2022-07-29,140007.0
2022-07-30,140007.0
2022-07-31,140007.0
2022-08-01,140067.0
2022-08-02,140204.0
2022-08-03,140325.0
2022-08-04,140445.0
2022-08-05,140611.0
2022-08-06,140611.0
2022-08-07,140611.0
2022-08-08,141315.0
2022-08-09,141452.0
2022-08-10,141553.0
2022-08-11,141631.0
2022-08-12,141724.0
2022-08-13,141724.0
2022-08-14,141724.0
2022-08-15,142138.0
2022-08-16,142233.0
2022-08-17,142290.0
2022-08-18,142365.0
2022-08-19,142443.0
2022-08-20,142443.0
2022-08-21,142443.0
2022-08-22,142508.0
2022-08-23,142562.0
2022-08-24,142656.0
2022-08-25,142741.0
2022-08-26,142798.0
2022-08-27,142798.0
2022-08-28,142798.0
2022-08-29,143111.0
2022-08-30,143190.0
2022-08-31,143259.0
2022-09-01,143339.0
2022-09-02,143406.0
2022-09-03,143406.0
2022-09-04,143406.0
2022-09-05,143676.0
2022-09-06,143743.0
2022-09-07,143743.0
2022-09-08,143965.0
2022-09-09,144050.0
2022-09-10,144050.0
2022-09-11,144050.0
2022-09-12,144124.0
2022-09-13,144192.0
2022-09-14,144239.0
2022-09-15,144334.0
2022-09-16,144428.0
2022-09-17,144428.0
2022-09-18,144428.0
2022-09-19,144744.0
2022-09-20,144744.0
2022-09-21,144928.0
2022-09-22,145033.0
2022-09-23,145117.0
2022-09-24,145117.0
2022-09-25,145117.0
2022-09-26,145396.0
2022-09-27,145437.0
2022-09-28,145452.0
2022-09-29,145525.0
2022-09-30,145578.0
2022-10-01,145578.0
2022-10-02,145578.0
2022-10-03,145672.0
2022-10-04,145714.0
2022-10-05,145735.0
2022-10-06,145759.0
2022-10-07,145789.0
2022-10-08,145789.0
2022-10-09,145789.0
2022-10-10,145948.0
2022-10-11,145991.0
2022-10-12,145991.0
2022-10-13,145991.0
2022-10-14,145991.0
2022-10-15,145991.0
2022-10-16,145991.0
2022-10-17,146058.0
2022-10-18,146064.0
2022-10-19,146064.0
2022-10-20,146074.0
2022-10-21,146074.0
2022-10-22,146074.0
2022-10-23,146074.0
2022-10-24,146153.0
2022-10-25,146172.0
2022-10-26,146172.0
2022-10-27,146172.0
2022-10-28,146172.0
2022-10-29,146172.0
2022-10-30,146172.0
2022-10-31,146215.0
2022-11-01,146236.0
2022-11-02,146236.0
2022-11-03,146258.0
2022-11-04,146288.0
2022-11-05,146288.0
2022-11-06,146288.0
2022-11-07,146289.0
2022-11-08,146290.0
2022-11-09,146292.0
2022-11-10,146292.0
2022-11-11,146296.0
2022-11-12,146296.0
2022-11-13,146296.0
2022-11-14,146296.0
2022-11-15,146296.0
2022-11-16,146304.0
2022-11-17,146324.0
2022-11-18,146333.0
2022-11-19,146333.0
2022-11-20,146333.0
2022-11-21,146398.0
2022-11-22,146421.0
2022-11-23,146439.0
2022-11-24,146439.0
2022-11-25,146470.0
2022-11-26,146470.0
2022-11-27,146470.0
2022-11-28,146470.0
2022-11-29,146470.0
2022-11-30,146682.0
2022-12-01,146682.0
2022-12-02,146682.0
2022-12-03,146682.0
2022-12-04,146682.0
2022-12-05,146682.0
2022-12-06,146682.0
2022-12-07,146682.0
2022-12-08,146682.0
2022-12-09,146682.0
2022-12-10,146682.0
2022-12-11,146682.0
2022-12-12,147207.0
2022-12-13,147256.0
2022-12-14,147363.0
2022-12-15,147448.0
2022-12-16,147448.0
2022-12-17,147448.0
2022-12-18,147448.0
2022-12-19,147746.0
2022-12-20,147797.0
2022-12-21,147837.0
2022-12-22,147851.0
2022-12-23,147851.0
2022-12-24,147851.0
2022-12-25,147851.0
2022-12-26,147970.0
2022-12-27,148032.0
2022-12-28,148278.0
2022-12-29,148278.0
2022-12-30,148278.0
2022-12-31,148278.0
